gene_ID,pathway_count
hsa:28227,7
hsa:4208,7
hsa:2821,7
hsa:3002,7
hsa:6696,7
hsa:9370,7
hsa:783,7
hsa:493869,7
hsa:4939,7
hsa:4940,7
hsa:5898,7
hsa:785,7
hsa:135,7
hsa:230,7
hsa:353376,7
hsa:784,7
hsa:8703,7
hsa:6778,7
hsa:5878,7
hsa:7074,7
hsa:29968,7
hsa:672,7
hsa:2882,7
hsa:5869,7
hsa:5111,7
hsa:2880,7
hsa:2878,7
hsa:2877,7
hsa:2876,7
hsa:441531,7
hsa:93589,7
hsa:23130,7
hsa:1378,7
hsa:1379,7
hsa:229,7
hsa:4190,7
hsa:84812,7
hsa:659,7
hsa:148,7
hsa:6570,7
hsa:9261,7
hsa:59285,7
hsa:5333,7
hsa:147700,7
hsa:10971,7
hsa:782,7
hsa:5366,7
hsa:7185,7
hsa:5371,7
hsa:952,7
hsa:89953,7
hsa:3600,7
hsa:4780,7
hsa:6372,7
hsa:9254,7
hsa:23401,7
hsa:6531,7
hsa:545,7
hsa:4938,7
hsa:7879,7
hsa:6374,7
hsa:4624,7
hsa:2747,7
hsa:6571,7
hsa:5350,7
hsa:11186,7
hsa:857,7
hsa:5223,7
hsa:695,7
hsa:134,7
hsa:5224,7
hsa:781,7
hsa:59284,7
hsa:2065,7
hsa:6351,7
hsa:373156,6
hsa:253314,6
hsa:1793,6
hsa:189,6
hsa:623,6
hsa:10010,6
hsa:6364,6
hsa:3481,6
hsa:5727,6
hsa:2559,6
hsa:10125,6
hsa:2560,6
hsa:3611,6
hsa:5934,6
hsa:5732,6
hsa:57121,6
hsa:3594,6
hsa:3588,6
hsa:34,6
hsa:3636,6
hsa:6403,6
hsa:2558,6
hsa:6241,6
hsa:5734,6
hsa:2023,6
hsa:5733,6
hsa:1977,6
hsa:387712,6
hsa:387332,6
hsa:2557,6
hsa:240,6
hsa:1739,6
hsa:2556,6
hsa:3516,6
hsa:2555,6
hsa:570,6
hsa:5899,6
hsa:57016,6
hsa:1946,6
hsa:3605,6
hsa:246,6
hsa:1945,6
hsa:2027,6
hsa:1944,6
hsa:1943,6
hsa:335,6
hsa:2026,6
hsa:1942,6
hsa:3587,6
hsa:83593,6
hsa:6342,6
hsa:2066,6
hsa:1910,6
hsa:9817,6
hsa:177,6
hsa:3577,6
hsa:64135,6
hsa:2554,6
hsa:2561,6
hsa:2539,6
hsa:5971,6
hsa:5837,6
hsa:5836,6
hsa:3563,6
hsa:5834,6
hsa:1958,6
hsa:3784,6
hsa:9945,6
hsa:2562,6
hsa:10235,6
hsa:873,6
hsa:2056,6
hsa:6319,6
hsa:3778,6
hsa:3635,6
hsa:9162,6
hsa:7533,6
hsa:1111,6
hsa:84706,6
hsa:5228,6
hsa:146,6
hsa:4191,6
hsa:5173,6
hsa:1129,6
hsa:23205,6
hsa:1431,6
hsa:4286,6
hsa:715,6
hsa:11317,6
hsa:4301,6
hsa:51433,6
hsa:7137,6
hsa:1133,6
hsa:11337,6
hsa:284,6
hsa:4329,6
hsa:11345,6
hsa:7167,6
hsa:658,6
hsa:113675,6
hsa:858,6
hsa:728343,6
hsa:728,6
hsa:23417,6
hsa:54567,6
hsa:84612,6
hsa:861,6
hsa:721,6
hsa:720,6
hsa:10892,6
hsa:2774,6
hsa:9519,6
hsa:7532,6
hsa:5328,6
hsa:9470,6
hsa:7170,6
hsa:717,6
hsa:859,6
hsa:147,6
hsa:11069,6
hsa:5139,6
hsa:139189,6
hsa:7314,6
hsa:927,6
hsa:4915,6
hsa:926,6
hsa:1211,6
hsa:925,6
hsa:1212,6
hsa:1213,6
hsa:132158,6
hsa:7010,6
hsa:1232,6
hsa:1311,6
hsa:48,6
hsa:6898,6
hsa:9140,6
hsa:8525,6
hsa:8526,6
hsa:4636,6
hsa:6908,6
hsa:8527,6
hsa:1281,6
hsa:22926,6
hsa:2923,6
hsa:5138,6
hsa:50,6
hsa:285,6
hsa:28514,6
hsa:7100,6
hsa:115004,6
hsa:2875,6
hsa:9365,6
hsa:29982,6
hsa:1373,6
hsa:231,6
hsa:50855,6
hsa:7082,6
hsa:7060,6
hsa:7059,6
hsa:6775,6
hsa:7058,6
hsa:5071,6
hsa:79966,6
hsa:6804,6
hsa:50484,6
hsa:1508,6
hsa:10993,6
hsa:6487,6
hsa:1609,6
hsa:56000,6
hsa:960,6
hsa:10482,6
hsa:10683,6
hsa:2717,6
hsa:7454,6
hsa:81616,6
hsa:1557,6
hsa:55902,6
hsa:156,6
hsa:157,6
hsa:6469,6
hsa:7448,6
hsa:1616,6
hsa:160851,6
hsa:7358,6
hsa:1577,6
hsa:1608,6
hsa:1581,6
hsa:3972,6
hsa:1607,6
hsa:1583,6
hsa:1606,6
hsa:3953,6
hsa:8218,6
hsa:8915,6
hsa:3952,6
hsa:1586,6
hsa:3283,6
hsa:2673,6
hsa:56001,6
hsa:3284,6
hsa:10333,6
hsa:2194,6
hsa:405,6
hsa:567,6
hsa:1636,6
hsa:84552,6
hsa:84532,6
hsa:8644,6
hsa:5663,6
hsa:27306,6
hsa:23710,6
hsa:1511,6
hsa:29760,5
hsa:8379,5
hsa:79602,5
hsa:3295,5
hsa:29882,5
hsa:2641,5
hsa:2567,5
hsa:2565,5
hsa:2566,5
hsa:821,5
hsa:8202,5
hsa:3419,5
hsa:2889,5
hsa:2052,5
hsa:2568,5
hsa:820,5
hsa:2569,5
hsa:239,5
hsa:29895,5
hsa:29922,5
hsa:29107,5
hsa:26285,5
hsa:843,5
hsa:29935,5
hsa:256076,5
hsa:3421,5
hsa:2266,5
hsa:25780,5
hsa:2053,5
hsa:29926,5
hsa:26275,5
hsa:29925,5
hsa:8290,5
hsa:3420,5
hsa:24146,5
hsa:2937,5
hsa:23566,5
hsa:2563,5
hsa:23562,5
hsa:3329,5
hsa:2564,5
hsa:8697,5
hsa:25847,5
hsa:333932,5
hsa:2729,5
hsa:2730,5
hsa:84693,5
hsa:2592,5
hsa:837,5
hsa:83660,5
hsa:84516,5
hsa:278,5
hsa:8353,5
hsa:277,5
hsa:3164,5
hsa:8354,5
hsa:276,5
hsa:84152,5
hsa:275,5
hsa:2530,5
